"Date Time, GMT-10:00","Temp, °C (LGR S/N: 21103101, SEN S/N: 21103101)","Intensity, Lux (LGR S/N: 21103101, SEN S/N: 21103101)"
23-03-22 01:53:08,29.252,0.0
23-03-22 02:53:08,29.152,0.0
23-03-22 03:53:08,29.152,0.0
23-03-22 04:53:08,29.152,0.0
23-03-22 05:53:08,29.152,0.0
23-03-22 06:53:08,29.252,1054.9
23-03-22 07:53:08,29.352,2325.0
23-03-22 08:53:08,29.452,4822.3
23-03-22 09:53:08,29.652,16533.4
23-03-22 10:53:08,29.853,7233.4
23-03-22 11:53:08,29.953,17911.2
23-03-22 12:53:08,30.054,21355.7
23-03-22 13:53:08,30.054,19289.0
23-03-22 14:53:08,29.953,9644.5
23-03-22 15:53:08,29.652,8611.2
23-03-22 16:53:08,29.452,2583.4
23-03-22 17:53:08,29.252,301.4
23-03-22 18:53:08,29.352,0.0
23-03-22 19:53:08,29.452,0.0
23-03-22 20:53:08,29.552,0.0
23-03-22 21:53:08,29.552,0.0
23-03-22 22:53:08,29.452,0.0
23-03-22 23:53:08,29.352,0.0
23-03-23 00:53:08,29.352,0.0
23-03-23 01:53:08,29.352,0.0
23-03-23 02:53:08,29.252,0.0
23-03-23 03:53:08,29.252,0.0
23-03-23 04:53:08,29.252,0.0
23-03-23 05:53:08,29.252,0.0
23-03-23 06:53:08,29.252,1054.9
23-03-23 07:53:08,29.452,3100.0
23-03-23 08:53:08,29.552,6544.5
23-03-23 09:53:08,29.752,7233.4
23-03-23 10:53:08,29.953,14466.8
23-03-23 11:53:08,30.054,16533.4
23-03-23 12:53:08,30.255,30311.3
23-03-23 13:53:08,30.154,14466.8
23-03-23 14:53:08,30.054,13089.0
23-03-23 15:53:08,29.853,7233.4
23-03-23 16:53:08,28.655,75.3
23-03-23 17:53:08,25.610,0.0
23-03-23 18:53:08,26.000,129.2
